epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,76411.7,1.19961,0.1667,1.81862,0.96907,0.96929,0.98793,0.87242,0.45132,0.04963,0.89419,5.67901e-05,5.67901e-05,5.67901e-05
139,76964.8,1.22199,0.16466,1.83972,0.96904,0.96929,0.98798,0.87224,0.45095,0.04949,0.89402,5.6271e-05,5.6271e-05,5.6271e-05
140,77514.7,1.19274,0.16762,1.81587,0.9693,0.96959,0.98804,0.87243,0.45044,0.04932,0.89372,5.57513e-05,5.57513e-05,5.57513e-05
141,78068.1,1.23392,0.17097,1.83743,0.96906,0.96929,0.98809,0.8735,0.45002,0.04924,0.89352,5.52309e-05,5.52309e-05,5.52309e-05
142,78617,1.20628,0.17058,1.8242,0.96903,0.96929,0.98808,0.87248,0.44943,0.04918,0.89328,5.47099e-05,5.47099e-05,5.47099e-05
143,79167.8,1.16335,0.16285,1.7812,0.96903,0.96929,0.98808,0.8735,0.44944,0.04902,0.89331,5.41885e-05,5.41885e-05,5.41885e-05
144,79718.4,1.17001,0.15773,1.80787,0.96902,0.96929,0.98814,0.87367,0.4493,0.04888,0.89326,5.36665e-05,5.36665e-05,5.36665e-05
145,80269.7,1.19972,0.16764,1.82538,0.96998,0.96929,0.98817,0.87326,0.44917,0.04875,0.89315,5.31442e-05,5.31442e-05,5.31442e-05
146,80821.4,1.17315,0.16405,1.79832,0.97051,0.96929,0.98814,0.87336,0.44895,0.04866,0.89318,5.26215e-05,5.26215e-05,5.26215e-05
147,81371.8,1.17651,0.15965,1.81146,0.97127,0.96929,0.98817,0.87403,0.4486,0.04866,0.89316,5.20986e-05,5.20986e-05,5.20986e-05
148,81924.3,1.18145,0.16297,1.80598,0.9719,0.96963,0.98823,0.87311,0.44857,0.04856,0.89319,5.15754e-05,5.15754e-05,5.15754e-05
149,82480.2,1.2334,0.17252,1.87846,0.97188,0.96916,0.98828,0.87365,0.44835,0.04859,0.89319,5.1052e-05,5.1052e-05,5.1052e-05
150,83029.5,1.18535,0.16336,1.81455,0.97315,0.96769,0.98833,0.87453,0.4481,0.04853,0.89321,5.05285e-05,5.05285e-05,5.05285e-05
151,83580.2,1.14173,0.15531,1.77145,0.97221,0.96796,0.98831,0.87391,0.44805,0.04843,0.8933,5.0005e-05,5.0005e-05,5.0005e-05
152,84131.6,1.17142,0.16136,1.79977,0.97184,0.96774,0.98835,0.87406,0.44787,0.04847,0.89313,4.94815e-05,4.94815e-05,4.94815e-05
153,84681.9,1.17229,0.16318,1.80474,0.97237,0.96662,0.98835,0.8731,0.44769,0.04839,0.893,4.8958e-05,4.8958e-05,4.8958e-05
154,85234.3,1.18485,0.16364,1.81668,0.97314,0.96724,0.98837,0.87395,0.44735,0.04832,0.8931,4.84346e-05,4.84346e-05,4.84346e-05
